Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF – 10.1,LC TPF – 10.2,LC 10.1 Halo Lightcurve,LC 10.1 Lightcurve Image,LC 10.1 Weight Image,LC 10.1 Flux Image,LC 10.2 Halo Lightcurve,LC 10.2 Lightcurve Image,LC 10.2 Weight Image,LC 10.2 Flux Image,Stiched LC light curve,Project,Contact,Publication,Comments
Porrima,2.74,F1V+F0mF2V,200084004,190.41486,-1.449475,Halo,GO10025_LC,,,,,,,,,,,,,,,
Zaniah,3.9,A2IV,200084005,184.97638,-0.667183,Halo,GO10025_LC,,,,,,,,,,,,,,,
21 Vir,5.48,B9V,200084006,188.444462,-9.452253,Halo,GO10025_LC,,,,,,,,,,,,,,,
21 Vir,5.48,B9V,228738487,188.444783,-9.452077,Regular,GO10077_LC|GO10025_LC,,,,,,,,,,,,,,,
FW Vir,5.71,M3+IIICa0.5,200084007,189.593819,1.854722,Halo,GO10025_LC,,,,,,,,,,,,,,,
FW Vir,5.71,M3+IIICa0.5,229144017,189.593355,1.854664,Regular,GO10025_LC,,,,,,,,,,,,,,,
HR 4837,5.918,G8III,200084008,190.908208,-1.57638,Halo,GO10025_LC,,,,,,,,,,,,,,,
HR 4591,6.316,K1III,200084009,180.256803,-1.768302,Halo,GO10025_LC,,,,,,,,,,,,,,,
HR 4613,6.364,G8/K0III,200084010,181.499356,-3.131519,Halo,GO10025_LC,,,,,,,,,,,,,,,
HR 4613,6.364,G8/K0III,201255019,181.499226,-3.13159,Regular,GO10063_LC|GO10031_LC|GO10025_LC,,,,,,,,,,,,,,,
HD 107794,6.46,K0III,200084011,185.814177,-4.974539,Halo,GO10025_LC,,,,,,,,,,,,,,,
