Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF,Project,Contact,Publication,Comments
80 Tau,5.552,F0V,210513593,67.535824,15.637839,Regular,GO13047_LC|GO13023_LC|GO13077_LC|GO13036_LC|GO13039_LC|GO13019_LC,KTWO210513593-C13,Hyades dSct,,,
51 Tau,5.631,F0V,200173865,64.597374,21.578461,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,KTWO200173865-C13,Hyades dSct,,,
HR 1403,5.711,Am,200173867,67.004481,21.619624,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,KTWO200173867-C13,Hyades dSct,,,
89 Tau,5.776,F0V,200173868,69.540041,16.032569,LC Halo,GO13019_LC|GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC,KTWO200173868-C13,Hyades dSct,,,
HR 1576,5.776,B9V,200173871,73.959576,15.038117,LC Halo,GO13019_LC|GO13047_LC|GO13122_LC|GO13127_LC,KTWO200173871-C13,,,,
98 Tau,5.785,A0V,200173870,74.539067,25.050123,LC Halo,GO13019_LC|GO13039_LC|GO13047_LC|GO13122_LC,KTWO200173870-C13,,,,
98 Tau,5.785,A0V,247893813,74.539142,25.050406,Regular,GO13047_LC|GO13122_LC|GO13039_LC|GO13019_LC,KTWO247893813-C13,,,,
99 Tau,5.806,G8III:,200173862,74.45255,23.948656,LC Halo,GO13019_LC|GO13047_LC,KTWO200173862-C13,,,,
99 Tau,5.806,G8III:,247733919,74.452694,23.948561,Regular,GO13047_LC|GO13019_LC,KTWO247733919-C13,,,,
105 Tau,5.92,B2Ve,200173869,76.981141,21.704531,LC Halo,GO13019_LC|GO13047_LC|GO13122_LC|GO13127_LC,KTWO200173869-C13,,,,
HR 1554,5.961,F2IV,200173874,73.195975,27.897278,LC Halo,GO13019_LC|GO13024_LC|GO13047_LC|GO13083_LC|GO13122_LC,KTWO200173874-C13,,,,
HR 1554,5.961,F2IV,248242432,73.196322,27.897486,Regular,GO13047_LC|GO13122_LC|GO13024_LC|GO13083_LC|GO13019_LC,KTWO248242432-C13,,,,
HR 1385,5.965,F4V,200173875,66.238157,19.041326,LC Halo,GO13019_LC|GO13023_LC|GO13024_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC|GO13902_LC|GO13903_LC|GO13904_LC,KTWO200173875-C13,Hyades dSct,,,"C4"
HR 1385,5.965,F4V,210745602,66.238031,19.042009,Regular,GO13047_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13019_LC|GO13902_LC|GO13903_LC|GO13904_LC,KTWO210745602-C13,Hyades dSct,,,
85 Tau,5.998,F4V,200173878,67.965737,15.850716,SC Halo,GO13002_SC|GO13019_SC|GO13023_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC,KTWO200173878-C13,Hyades dSct,,,
85 Tau,5.998,F4V,246810368,67.965656,15.85156,Regular,GO13047_LC|GO13122_LC|GO13002_LC|GO13023_LC|GO13077_LC|GO13039_LC|GO13019_LC,KTWO246810368-C13,Hyades dSct,,,
HR 1459,6.019,F5IV,200173877,69.122045,23.340071,SC Halo,GO13019_SC|GO13023_SC|GO13024_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC,KTWO200173877-C13,Hyades dSct,,,
HR 1459,6.019,F5IV,247649941,69.12141,23.340858,Regular,GO13047_LC|GO13122_LC|GO13023_LC|GO13024_LC|GO13077_LC|GO13039_LC|GO13019_LC,KTWO247649941-C13,Hyades dSct,,,
HR 1741,6.107,K0III,200173873,79.811052,20.133961,LC Halo,GO13019_LC|GO13036_LC|GO13047_LC,KTWO200173873-C13,,,,
HR 1741,6.107,K0III,247254216,79.811208,20.134592,Regular,GO13047_LC|GO13036_LC|GO13019_LC,KTWO247254216-C13,,,,
HR 1633,6.188,K0,200173872,76.090102,21.277497,LC Halo,GO13047_LC|GO13123_LC,KTWO200173872-C13,,,,
HR 1755,6.205,K0III,200173876,80.236334,19.814277,LC Halo,GO13047_LC,KTWO200173876-C13,,,,
HR 1755,6.205,K0III,247220058,80.235892,19.814346,Regular,GO13047_LC,KTWO247220058-C13,,,,
