Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,LC Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
Dschubba,2.32,B0.3IV,200194910,240.0833554,-22.62170643,Halo,GO15001|GO15003|GO15023|DELTA_SCO-LC-BRIGHT_STAR_DISC,KTWO200194910-C15,,,,,,,,
Zubenelhakrabi,3.91,G8.5III,200194911,233.8815784,-14.78953551,Halo,GO15001|GO15003|GO15063|GAMMA_LIB-LC-BRIGHT_STAR_DISC,KTWO200194911-C15,,,,,,,,
iot1 Lib,4.54,B9IVpSi,200194912,228.0553761,-19.7917109,Halo,GO15001|GO15003|GO15021|IOTA1_LIB-LC-BRIGHT_STAR_DISC,KTWO200194912-C15,,,,,,,,\tablenotemark{b}
41 Lib,5.359,G8III/IV,200194913,234.7273243,-19.30189583,Halo,GO15001|GO15003|GO15063|41_LIB-LC-BRIGHT_STAR_DISC,KTWO200194913-C15,,,,,,,,
zet4 Lib,5.499,B3V,200194914,233.2300896,-16.85284783,Halo,GO15003|GO15021|GO15023|ZETA4_LIB-LC-BRIGHT_STAR_DISC,KTWO200194914-C15,,,,,,,,
HR 5762,5.52,A2IV,200194915,233.1529208,-19.6704581,Halo,GO15003|GO15021|GO15023|GO15063|HR_5762-LC-BRIGHT_STAR_DISC,KTWO200194915-C15,,,,,,,,
HR 5806,5.79,K0III,200194916,234.4501566,-23.1416961,Halo,GO15003|GO15063|HR_5806-LC-BRIGHT_STAR_DISC,KTWO200194916-C15,,,,,,,,
zet3 Lib,5.806,K0III,200194917,232.6683426,-16.60946629,Halo,GO15003|ZETA3_LIB-LC-BRIGHT_STAR_DISC,KTWO200194917-C15,,,,,,,,
HR 5810,5.816,K0III,200194918,234.5678373,-21.01632868,Halo,GO15003|GO15063|HR_5810-LC-BRIGHT_STAR_DISC,KTWO200194918-C15,,,,,,,,
iot2 Lib,6.066,A2V,200194919,228.3299554,-19.6475503,Halo,GO15003|IOTA2_LIB-LC-BRIGHT_STAR_DISC,KTWO200194919-C15,,,,,,,,\tablenotemark{b}
HR 5620,6.14,K0III,200194920,226.6130965,-22.03182838,Halo,GO15003|GO15004|GO15063|HR_5620-LC-BRIGHT_STAR_DISC,KTWO200194920-C15,,,,,,,,
28 Lib,6.17,G8II/III,200194921,230.2236529,-18.15865908,Halo,GO15003|28_LIB-LC-BRIGHT_STAR_DISC,KTWO200194921-C15,,,,,,,,
HR 5847,6.295,K0III,250036555,235.853578,-15.043232,Regular,GO15003_LC,KTWO250036555-C15,,,,,,,,
HD 136703,6.542,K0III,249119329,230.737736,-26.688766,Regular,GO15003_LC,KTWO249119329-C15,,,,,,,,
HD 134700,6.67,K1III,249940651,227.95824,-16.159557,Regular,GO15003_LC|GO15023_LC,KTWO249940651-C15,,,,,,,,
HD 139408,6.82,K1III,250081171,234.621168,-14.516866,Regular,GO15003_LC,KTWO250081171-C15,,,,,,,,
HD 134812,6.87,K0III,249785519,228.109515,-18.089949,Regular,GO15003_LC|GO15004_LC|GO15021_LC,KTWO249785519-C15,,,,,,,,
HD 137463,6.98,A3/5V+K0III,249639986,231.709823,-20.005078,Regular,GO15003_LC|GO15009_LC,KTWO249639986-C15,,,,,,,,
HD 138810,7.02,K1(III)(+G),200194958,233.7482933,-17.13883858,Halo,GO15003_LC|GO15001_LC|HD_138810-LC-BRIGHT_STAR_DISC,KTWO200194958-C15,,,,,,,,
HD 139409,7.13,G8II/III,249817942,234.672456,-17.66485,Regular,GO15003_LC,KTWO249817942-C15,,,,,,,,"Peculiar star, suspected binary"
HD 133603,7.14,K1/2III,249448438,226.51306,-22.403979,Regular,GO15003_LC,KTWO249448438-C15,,,,,,,,
HD 138686,7.25,F5III,250104419,233.514519,-14.229523,Regular,GO15003_LC|GO15009_LC|GO15028_LC|GO15021_LC,KTWO250104419-C15,,,,,,,,
HD 138175,7.27,K1IIICNII,249354477,232.77923,-23.656802,Regular,GO15003_LC,KTWO249354477-C15,,,,,,,,
HD 140919,7.61,K1III,249861691,236.717582,-17.108681,Regular,GO15003_LC|GO15001_LC,KTWO249861691-C15,,,,,,,,
HD 136866,7.63,K2/3III,249906067,230.878729,-16.564098,Regular,GO15003_LC,KTWO249906067-C15,,,,,,,,
HD 137115,7.64,K0III,249475847,231.239847,-22.043659,Regular,GO15003_LC,KTWO249475847-C15,,,,,,,,
HD 133649,7.68,K0III,249688732,226.561678,-19.377503,Regular,GO15003_LC,KTWO249688732-C15,,,,,,,,
HD 136603,7.83,K1III,249216625,230.590877,-25.459495,Regular,GO15003_LC,KTWO249216625-C15,,,,,,,,
HD 141359,7.90,K0III,249617858,237.339131,-20.28487,Regular,GO15003_LC,KTWO249617858-C15,,,,,,,,
HD 134136,8.00,K1III,249584373,227.197893,-20.694495,Regular,GO15003_LC,KTWO249584373-C15,,,,,,,,
