Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,LC Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
Ascella,2.585,A2.5Va,200062593,285.65184,-29.879815,Halo,GO7081_LC,,,,,,,,,
Albaldah,2.88,F2II-III,200062592,287.441295,-21.024023,Halo,GO7081_LC,,,,,,,,,
tau Sgr,3.31,K1.5IIIb,200062591,286.733938,-27.671395,Halo,GO7081_LC,,,,,,,,,
ksi2 Sgr,3.51,G8/K0II/III,200062590,284.432465,-21.106731,Halo,GO7081_LC,,,,,,,,,
omi Sgr,3.77,G9IIIb,200062589,286.17119,-21.741407,Halo,GO7081_LC,,,,,,,,,
52 Sgr,4.598,B8/9V,200062585,294.176404,-24.885019,Halo,GO7081_LC,,,,,,,,,
Ainalrami,4.845,K1II,200062588,283.542904,-22.744355,Halo,GO7081_LC,,,,,,,,,
psi Sgr,4.85,K0/1III+A/F,200062584,288.884973,-25.257284,Halo,GO7081_LC,,,,,,,,,
43 Sgr,4.878,G8II-III,200062587,289.409117,-18.953224,Halo,GO7081_LC,,,,,,,,,
nu2 Sgr,4.98,K3-II-III:CN1Ba1,200062586,283.779491,-22.671559,Halo,GO7081_LC,,,,,,,,,
