Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,LC Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
gam Cnc,4.652,A1IV,200233186,130.8214508,21.46850022,Halo,GO18038|GO18051|GAMMA_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
zet Cnc,4.67,F8V+G0V,200233643,123.0530265,17.64776708,Halo,GO18038|GO18051|ZETA_CANCRI-SC-BRIGHT_STAR_DISC,,,,,,,,,C5
eta Cnc,5.325,K3III,200233187,128.1770667,20.44116292,Halo,GO18038|GO18051|ETA_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,"C5, C16"
60 Cnc,5.44,K5III,200233188,133.98145,11.62602,Halo,GO18051|GO18068|60_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,"C5, C16"
60 Cnc,5.44,K5III,211399051,133.98145,11.62602,Regular,GO18051_LC|GO18068_LC,,,,,,,,,"C5, C16"
49 Cnc,5.66,A1VpHgMnSiEu,200233189,131.1876504,10.08166753,Halo,GO18049|GO18051|GO18067|49_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
HR 3264,5.798,K1III,200233190,125.08739,20.74772,Halo,GO18051|GO18068|HR_3264-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
HR 3264,5.798,K1III,212029623,125.08739,20.74772,Regular,GO18051_LC|GO18068_LC,,,,,,,,,C5
50 Cnc,5.885,A1Vp,200233191,131.7334112,12.10995057,Halo,GO18038|GO18049|GO18051|50_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,"C5, C16"
29 Cnc,5.948,A5V,200233192,127.1555775,14.21082345,Halo,GO18049|GO18051|29_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
HR 3222,6.047,G8III,200233193,123.2488715,16.51431877,Halo,GO18051|HR_3222-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
HR 3222,6.047,G8III,211743326,123.24887,16.51432,Regular,GO18051_LC,,,,,,,,,C5
21 Cnc,6.08,M2III,200233196,125.9800391,10.63205666,Halo,GO18051|GO18067|21_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
21 Cnc,6.08,M2III,211340040,125.98004,10.63206,Regular,GO18051_LC|GO18067_LC,,,,,,,,,C5
25 Cnc,6.1,F5IIIm?,200233644,126.45782,17.04627,Halo,GO18036|GO18038|GO18049|GO18051|GO18066|25_CANCRI-SC-BRIGHT_STAR_DISC,,,,,,,,,C5
25 Cnc,6.1,F5IIIm?,211780967,126.45782,17.04627,Regular,GO18036_LC|GO18038_LC|GO18049_LC|GO18051_LC|GO18066_LC|GO18036_SC|GO18051_SC|GO18066_SC,,,,,,,,,C5
HR 3558,6.146,K1III,200233195,134.284504,17.14374897,Halo,GO18051|HR_3558-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
39 Cnc,6.39,G8+III-IIIb,211984704,130.02673,20.00779,Regular,GO18011_LC|GO18039_LC|GO18049_LC|GO18051_LC|GO18062_LC,,,,,,,,,C5
HR 3541,6.4,"C6,4",200233194,133.84534,17.23128,Halo,GO18017|GO18051|X_CANCRI-LC-BRIGHT_STAR_DISC,,,,,,,,,C5
HR 3541,6.4,"C6,4",211793963,133.84534,17.23128,Regular,GO18017_LC|GO18051_LC,,,,,,,,,C5
HD 69629,6.41,K0,211682336,124.56009,15.67792,Regular,GO18051_LC|GO18065_LC,,,,,,,,,C5
HD 75974,6.668,F8,211982221,133.48056,19.96713,Regular,GO18026_LC|GO18032_LC|GO18050_LC|GO18051_LC,,,,,,,,,C5
HD 73974,6.92,G8III-IIIb,211976270,130.45868,19.87417,Regular,GO18011_LC|GO18039_LC|GO18049_LC|GO18051_LC|GO18062_LC,,,,,,,,,C5
HD 76475,7.04,G5,212091650,134.27144,21.86045,Regular,GO18050_LC|GO18051_LC,,,,,,,,,"C5, C16"
HD 78347,7.34,K0,211612703,137.03496,14.7114,Regular,GO18051_LC,,,,,,,,,"C5, C16"
HD 77776,7.37,G8III,211514553,136.24208,13.34395,Regular,GO18051_LC,,,,,,,,,"C5, C16"
52 Cnc,7.37,G5,211706383,132.79503,15.99943,Regular,GO18050_LC|GO18051_LC,,,,,,,,,"C5, C16"
HD 69072,7.55,K0,211897761,123.99351,18.6939,Regular,GO18051_LC,,,,,,,,,C5
HD 73578,7.62,K2,211716813,129.91504,16.14155,Regular,GO18051_LC,,,,,,,,,"C5, C16"
HD 76445,7.64,G5,211811597,134.19162,17.48135,Regular,GO18026_LC|GO18036_LC|GO18038_LC|GO18043_LC|GO18050_LC|GO18051_LC|GO18068_LC,,,,,,,,,"C5, C16"
HD 69031,7.66,K0,211818031,123.91479,17.57202,Regular,GO18051_LC,,,,,,,,,C5
HD 69938,7.68,G5,211974750,125.00043,19.85097,Regular,GO18051_LC,,,,,,,,,C5
HD 75842,7.81,G5,211732180,133.24475,16.35687,Regular,GO18051_LC,,,,,,,,,"C5, C16"
HD 71750,7.85,G5,211499807,127.34996,13.13764,Regular,GO18051_LC,,,,,,,,,C5
HD 70899,7.9,K0,211439345,126.23257,12.23613,Regular,GO18051_LC|GO18067_LC,,,,,,,,,C5
HD 74227,7.96,G5,211568804,130.80377,14.10759,Regular,GO18050_LC|GO18051_LC,,,,,,,,,C5
HD 72306,7.99,K0,211686973,128.15929,15.73947,Regular,GO18051_LC,,,,,,,,,C5
