Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,LC Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
eps Psc,4.28,G9IIIbFe-2,200068392,15.736117,7.889231,Halo,GO8025_LC,,,,,,,,,
Revati,5.187,A7IV,200068393,18.43412,7.574624,Halo,GO8025_LC,,,,,,,,,
80 Psc,5.5,F2V,200068394,17.091325,5.648604,Halo,GO8025_LC,,,,,,,,,
42 Cet,5.87,G8III-IV+A7IV,200068399,19.951281,-0.509707,Halo,GO8025_LC,,,,,,,,,
33 Cet,5.942,K4/5III,200068395,17.639603,2.445331,Halo,GO8025_LC,,,,,,,,,
60 Psc,5.961,G8III,200068396,11.848427,6.740724,Halo,GO8025_LC,,,,,,,,,
73 Psc,6.007,K5III,200068397,16.219136,5.656351,Halo,GO8025_LC,,,,,,,,,
WW Psc,6.140,M2.5III,200068398,14.957207,6.483094,Halo,GO8025_LC,,,,,,,,,
HR 243,6.368,G8/K0II/III,200068400,12.826105,3.38449,Halo,GO8025_LC,,,,,,,,,
HR 161,6.407,K3III,200068401,9.377393,3.135111,Halo,GO8025_LC,,,,,,,,,
