Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,LC Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
Spica,0.97,B1V,200213067,201.2982474,-11.16131949,Halo,GO17051|SPICA-LC-BRIGHT_STAR_DISC,,,,,,,,,
82 Vir,5.01,M1+III,200213053,205.4032356,-8.70298448,Halo,GO17051|82_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,
76 Vir,5.21,G8III,200213054,203.2419673,-10.16500253,Halo,GO17038|GO17051|GO17068|76_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,
76 Vir,5.21,G8III,212618733,203.2419739,-10.1650028,Regular,GO17038_LC|GO17051_LC|GO17068_LC,,,,,,,,,
68 Vir,5.25,K5III,200213055,201.6798633,-12.70766332,Halo,GO17051|68_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,
68 Vir,5.25,K5III,212501232,201.6798706,-12.7076626,Regular,GO17051_LC,,,,,,,,,
80 Vir,5.706,K0III,200213056,203.8804021,-5.39619162,Halo,GO17038|GO17051|GO17068|80_VIR-LC-BRIGHT_STAR_DISC,,,,,,,,,
80 Vir,5.706,K0III,212804808,203.8804016,-5.3961921,Regular,GO17038_LC|GO17051_LC|GO17068_LC,,,,,,,,,
HR 5106,5.932,A0V,200213057,203.6685425,-13.21432544,Halo,GO17051|HR_5106-LC-BRIGHT_STAR_DISC,,,,,,,,,
HR 5106,5.932,A0V,212477735,203.6685486,-13.214325,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HR 5059,5.965,A8V,200213058,201.5475623,-1.19247178,Halo,GO17051|HR_5059-LC-BRIGHT_STAR_DISC,,,,,,,,,
HR 5059,5.965,A8V,251605591,201.547562,-1.192472,Regular,GO17038_LC|GO17051_LC|GO17067_LC,,,,,,,,,
HR 5078,6.419,K1IIICNII,251598273,202.312149,-1.364427,Regular,GO17051_LC|GO17067_LC|GO17068_LC,,,,,,,,,
62 Vir,6.726,K0III,212567178,200.0832672,-11.3041306,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 117515,6.91,K0III,212873074,202.7142792,-3.0498281,Regular,GO17051_LC|GO17067_LC|GO17068_LC,,,,,,,,,
HD 119706,7.09,K1III,212725073,206.2369843,-7.6343932,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 116045,7.21,G8III/IV,212626055,200.3009796,-9.9991083,Regular,GO17011_LC|GO17036_LC|GO17049_LC|GO17050_LC|GO17051_LC,,,,,,,,,
HD 119705,7.22,K0III,212784161,206.2374573,-6.002255,Regular,GO17049_LC|GO17051_LC|GO17065_LC,,,,,,,,,
HD 119009,7.25,K0III,212497693,205.2487335,-12.7829456,Regular,GO17051_LC,,,,,,,,,
HD 117832,7.25,K0III,251548129,203.238315,-2.424263,Regular,GO17051_LC|GO17067_LC,,,,,,,,,
HD 115631,7.61,G8/K0III,212775202,199.6378326,-6.2657671,Regular,GO17051_LC,,,,,,,,,
HD 117905,7.62,K0III,212692879,203.3646698,-8.4358187,Regular,GO17051_LC,,,,,,,,,
HD 120969,7.68,K0III/IV,212595879,208.2240295,-10.6825943,Regular,GO17051_LC,,,,,,,,,
81 Vir,7.7,K0III,212715737,204.3966217,-7.8718958,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 119566,7.74,K3IIICNIb,212561026,206.0648193,-11.4368038,Regular,GO17051_LC|GO17068_LC,,,,,,,,,
HD 116961,7.76,K0III,212473149,201.8159943,-13.3104811,Regular,GO17051_LC,,,,,,,,,
HD 115368,7.79,K0III,212480300,199.2435303,-13.1588392,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 120319,7.8,K4/5III,212702731,207.2057343,-8.1904144,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 119373,7.86,K0III,212884921,205.7261963,-2.4684131,Regular,GO17051_LC|GO17067_LC,,,,,,,,,
HD 117636,7.88,K0IIICNII,212783705,202.9675293,-6.0147591,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 118249,7.95,G5III,212465190,203.9477081,-13.4785204,Regular,GO17051_LC,,,,,,,,,
HD 121422,7.97,K0III,212524104,208.8813324,-12.2230616,Regular,GO17011_LC|GO17051_LC,,,,,,,,,
HD 118841,7.98,K1III,212621022,204.8939514,-10.1138859,Regular,GO17040_LC|GO17051_LC,,,,,,,,,
